"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"STOCKS HALL CARE HOMES LIMITED","11730","Stocks House, 50c White Moss Road, Skelmersdale, England, WN8 8BL","WN8 8BL","02174831","87100","86.1","16.2","-16.4","-31.6","1","1.2","20.82","79.18","12.65","87.35","13.47","86.53","16.73","83.27","","Cath White (Finance Manager)","500 to 999","STOCKS HALL CARE HOMES LIMITED","False","2026/04/05 00:00:00","2025/04/08 09:33:29"
"Summit Learning Trust","16137","Ninestiles School, Hartfield Crescent, Birmingham, United Kingdom, B27 7QG","B27 7QG","","1,
85310","17.0","21.2","","","0","0","14","86","26","74","24","76","37","63","","","500 to 999","Summit Learning Trust","False","2026/03/31 00:00:00","2025/05/08 11:55:57"
"Tavistock And Portman Nhs Foundation Trust","12036","120 Belsize Lane, London, NW3 5BA","NW3 5BA","","1,
86210","8.52","0.00","-20.61","0.00","3.70","1.63","28.57","71.43","23.88","76.12","21.43","78.57","32.54","67.46","","","500 to 999","Tavistock And Portman Nhs Foundation Trust","False","2026/03/31 00:00:00","2025/05/12 14:51:14"
"THE CAKE CREW LIMITED","19163","Units 11-12 Enterprise Park, Bala, Gwynedd, LL23 7NL","LL23 7NL","07738348","10720","5.6","3","-39","-4.2","81.5","65.9","57","43","56","44","56","44","63","37","","Terri Roberts (Head of HR)","Less than 250","THE CAKE CREW LIMITED","False","2026/04/05 00:00:00","2025/04/30 16:53:13"
"THE CELTIC MANOR RESORT LIMITED","324","Coldra Woods, Newport, Gwent, NP18 1HQ","NP18 1HQ","08428620","55100","10.26","0.81","11.3","-3.1","16.51","27.71","45","55","38.3","61.7","47.3","52.7","60.9","39.1","","Julie Hammond (CEO)","1000 to 4999","THE CELTIC MANOR RESORT LIMITED","False","2026/04/05 00:00:00","2025/04/09 14:09:20"
"THE DIOCESE OF GLOUCESTER ACADEMIES TRUST","14296","3 College Green, Gloucester, England, GL1 2LR","GL1 2LR","08149299","85600","23","37.3","","","0","0","6","94","5","95","6","94","13","87","","","1000 to 4999","THE DIOCESE OF GLOUCESTER ACADEMIES TRUST","False","2026/03/31 00:00:00","2025/05/14 09:51:38"
"THE JAMES HUTTON INSTITUTE","12417","The James Hutton Institute, Invergowrie, Dundee, DD2 5DA","DD2 5DA","SC374831","72190","12.9","8.7","0","0","0.4","0.3","40","60","31","69","47","53","62","38","https://www.hutton.ac.uk/about/organisational-structure-leadership-and-governance/annual-reports-and-accounts/","Colin Campbell (Chief Executive)","500 to 999","THE JAMES HUTTON INSTITUTE","False","2026/04/05 00:00:00","2025/04/29 15:18:40"
"THE ROMERO CATHOLIC ACADEMY","12552","Cardinal Wiseman Catholic School, Potters Green Road, Coventry, England, CV2 2AJ","CV2 2AJ","09702162","85100,
85200,
85310","20.7","41.7","","","0","0","4","96","17","83","15","85","27","73","https://romero-prod.s3.eu-west-2.amazonaws.com/wp-content/uploads/2025/04/02094504/TRCA-Gender-Pay-Report-2025.pdf","","500 to 999","THE ROMERO CATHOLIC ACADEMY","False","2026/03/31 00:00:00","2025/04/02 10:55:42"
"The STAR Multi Academy Trust","20705","Tadcaster Grammar School, Rose Cottage, Toulson, Tadcaster, United Kingdom, LS24 9NB, LS24 9NB","LS24 9NB","","","30.8","49.3","","","0","0","3","97","8","92","20","80","28","72","https://web.starmat.uk/governance/statutory-documentation/","","500 to 999","The STAR Multi Academy Trust","False","2026/03/31 00:00:00","2025/04/30 14:41:04"
"TOTAL RECRUIT LTD","20186","50 Northgate, Wakefield, United Kingdom, WF1 3AN","WF1 3AN","12401218","62030,
78200","-458.98","0.02","-103.69","-96.63","0.65","2.52","64.49","35.51","73.58","26.42","71.70","28.30","80.19","19.81","https://www.totalrecruitltd.co.uk/wp-content/uploads","Tracey Oxley (Director)","250 to 499","TOTAL RECRUIT LTD","False","2026/04/05 00:00:00","2025/05/13 08:02:42"
"UNIQUE WINDOW SYSTEMS LTD","23383","87 Parker Drive, Leicester, LE4 0JP","LE4 0JP","05060094","22230","-0.2","0","","","0","0","96","4","93","7","96","4","90","10","","Neal Addison (Finance Director)","250 to 499","UNIQUE WINDOW SYSTEMS LTD","False","2026/04/05 00:00:00","2025/05/09 12:59:59"
"VISUALSOFT LIMITED","20676","Visualsoft House Princes Wharf, Thornaby, Stockton On Tees, TS17 6QY","TS17 6QY","03655545","62012,
62020,
62090","11.09","2.78","58.13","42.92","11.46","19.42","62.50","37.50","51.79","48.21","63.64","36.36","69.09","30.91","","Chris Fletcher (CEO)","Less than 250","VISUALSOFT LIMITED","False","2026/04/05 00:00:00","2025/05/13 09:51:41"
"WATERTON ACADEMY TRUST","13539","Walton Primary Academy The Grove, Walton, Wakefield, West Yorkshire, WF2 6LD","WF2 6LD","09124782","85200","32.44","50.99","","","0","0","4.5","95.5","3.2","96.8","10.8","89.2","17.2","82.8","","","500 to 999","WATERTON ACADEMY TRUST","False","2026/03/31 00:00:00","2025/04/16 16:19:43"
"WELTON BIBBY AND BARON LIMITED","13596","1 Quartermaster Road, West Wilts Trading Estate, Westbury, Wiltshire, BA13 4JT","BA13 4JT","04946078","17211","16.5","14.7","77.6","3.7","87.8","78.7","76.4","23.6","84.9","15.1","86.3","13.7","97.2","2.8","","Nicholas Tomkins (Director)","250 to 499","WELTON BIBBY AND BARON LIMITED","False","2026/04/05 00:00:00","2025/05/15 14:40:15"
"WESSEX EAGLE LIMITED","15245","Eagle Plant, Beeching Close, Chard, Somerset, TA20 1BB","TA20 1BB","01540286","77320","10.8","10.9","27.7","29.6","75","88","80","20","94","6","97","3","94","6","","Gary Parfoot (Finance Director)","250 to 499","WESSEX EAGLE LIMITED","False","2026/04/05 00:00:00","2025/04/07 07:52:49"
"WHITE & CO PLC","13720","Hillsons Road Bottings Industrial Estate, Botley, Southampton, England, SO30 2DY","SO30 2DY","00052204","49420","-4.65","-1.12","-23.44","73.33","92","52","95.5","4.5","76.99","23.01","81.42","18.58","83.19","16.81","","IAN PALMER (CEO)","250 to 499","WHITE & CO PLC","False","2026/04/05 00:00:00","2025/04/14 08:54:58"
